
#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AN,Anantapur,Anantapur,"4,083,315","19,130",213
2,CH,Chittoor,Chittoor,"4,170,468","15,152",275
3,EG,East Godavari,Kakinada,"5,151,549","10,807",477
4,GU,Guntur,Guntur,"4,889,230","11,391",429
5,CU,Kadapa,Kadapa,"2,884,524","15,359",188
6,KR,Krishna,Machilipatnam,"4,529,009","8,727",519
7,KU,Kurnool,Kurnool,"4,046,601","17,658",229
8,PR,Prakasam,Ongole,"3,392,764","17,626",192
9,NE,Sri Potti Sriramulu Nellore,Nellore,"2,966,082","13,076",227
10,SR,Srikakulam,Srikakulam,"2,699,471","5,837",462
11,VS,Visakhapatnam,Visakhapatnam,"4,288,113","11,161",384
12,VZ,Vizianagaram,Vizianagaram,"2,342,868","6,539",358
13,WG,West Godavari,Eluru,"3,934,782","7,742",490

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AJ,Anjaw,Hawai,"21,089","6,190",3
2,CH,Changlang,Changlang,"147,951","4,662",32
3,EK,East Kameng,Seppa,"78,413","4,134",19
4,ES,East Siang,Pasighat,"99,019","3,603",27
5,–  [Note 1],Kamle,Raga,"22,256",200,111
6,–  [Note 2],Kra Daadi,Jamin,–,–,–
7,KK,Kurung Kumey,Koloriang,"89,717","6,040",15
8,–  [Note 3],Lepa Rada,Basar,–,–,–
9,EL,Lohit,Tezu,"145,538","2,402",61
10,LD,Longding,Longding,"60,000","1,200",50
11,DV,Lower Dibang Valley,Roing,"53,986","3,900",14
12,–  [Note 4],Lower Siang,Likabali,–,–,–
13,LB,Lower Subansiri,Ziro,"82,839","3,508",24
14,–  [Note 5],Namsai,Namsai,"95,950","1,587",60
15,–  [Note 6],Pakke-Kessang,Lemmi,–,–,–
16,PA,Papum Pare,Yupia,"176,385","2,875",61
17,–  [Note 7],Shi Yomi,Tato,"13,310","2,875",5
18,–  [Note 8],Siang,Pangin,"31,920","2,919",11
19,TA,Tawang,Tawang Town,"49,950","2,085",24
20,TI,Tirap,Khonsa,"111,997","2,362",47
21,UD,Upper Dibang Valley,Anini,"7,948","9,129",1
22,US,Upper Siang,Yingkiong,"35,289","6,188",6
23,UB,Upper Subansiri,Daporijo,"83,205","7,032",12
24,WK,West Kameng,Bomdila,"87,013","7,422",12
25,WS,West Siang,Along,"112,272","8,325",13

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,BK,Baksa,Mushalpur,"953,773","2,008",475
2,-,Bajali,Pathsala,-,-,–
3,BP,Barpeta,Barpeta,"1,693,190","3,245",522
4,BS,Bishwanath,Bishwanath Chariali,"612,491 [Note 1]","1,100",560
5,BO,Bongaigaon,Bongaigaon,"732,639","1,724",425
6,CA,Cachar,Silchar,"1,736,319","3,786",459
7,CD,Charaideo,Sonari,"471,418 [Note 2]","1,069",440
8,CH,Chirang,Kajalgaon,"481,818","1,975",244
9,DR,Darrang,Mangaldoi,"908,090","1,849",491
10,DM,Dhemaji,Dhemaji,"688,077","3,237",213
11,DU,Dhubri,Dhubri,"1,948,632","2,838",687
12,DI,Dibrugarh,Dibrugarh,"1,327,748","3,381",393
13,NC,Dima Hasao,Haflong,"213,529","4,888",44
14,GP,Goalpara,Goalpara,"1,008,959","1,824",553
15,GG,Golaghat,Golaghat,"1,058,674","3,502",302
16,HA,Hailakandi,Hailakandi,"659,260","1,327",497
17,HJ,Hojai,Hojai,"931,218 [Note 3]",–,–
18,JO,Jorhat,Jorhat,"1,091,295","2,851",383
19,KU,Kamrup,Amingaon,"1,517,202","3,480",436
20,KM,Kamrup Metropolitan,Guwahati,"1,260,419",627,"2,010"
21,KG,Karbi Anglong,Diphu,"965,280","10,434",93
22,KR,Karimganj,Karimganj,"1,217,002","1,809",673
23,KJ,Kokrajhar,Kokrajhar,"886,999","3,129",283
24,LA,Lakhimpur,North Lakhimpur,"1,040,644","2,277",457
25,MJ,Majuli,Garamur,"167,304 [Note 4]",880,300
26,MA,Morigaon,Marigaon,"957,853","1,704",562
27,NN,Nagaon,Nagaon,"2,826,006","3,831",738
28,NB,Nalbari,Nalbari,"769,919","1,009",763
29,ST,Sivasagar,Sibsagar,"1,150,253","2,668",431
30,SM,South Salmara,Hatsingimari,"555,114 [Note 5]",568,980
31,SO,Sonitpur,Tezpur,"1,925,975","5,324",362
32,TI,Tinsukia,Tinsukia,"1,316,948","3,790",347
33,UD,Udalguri,Udalguri,"832,769","1,676",497
34,WK,West Karbi Anglong,Hamren,"300,320 [Note 6]","3,035",99

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AR,Araria,Araria,"2,806,200","2,829",992
2,AR,Arwal,Arwal,"700,843",638,"1,098"
3,AU,Aurangabad,Aurangabad,"2,511,243","3,303",760
4,BA,Banka,Banka,"2,029,339","3,018",672
5,BE,Begusarai,Begusarai,"2,954,367","1,917","1,540"
6,BG,Bhagalpur,Bhagalpur,"3,032,226","2,569","1,180"
7,BJ,Bhojpur,Arrah,"2,720,155","2,473","1,136"
8,BU,Buxar,Buxar,"1,707,643","1,624","1,003"
9,DA,Darbhanga,Darbhanga,"3,921,971","2,278","1,721"
10,EC,East Champaran,Motihari,"5,082,868","3,969","1,281"
11,GA,Gaya,Gaya,"4,379,383","4,978",880
12,GO,Gopalganj,Gopalganj,"2,558,037","2,033","1,258"
13,JA,Jamui,Jamui,"1,756,078","3,099",567
14,JE,Jehanabad,Jehanabad,"1,124,176","1,569","1,206"
15,KM,Kaimur,Bhabua,"1,626,900","3,363",488
16,KT,Katihar,Katihar,"3,068,149","3,056","1,004"
17,KH,Khagaria,Khagaria,"1,657,599","1,486","1,115"
18,KI,Kishanganj,Kishanganj,"1,690,948","1,884",898
19,LA,Lakhisarai,Lakhisarai,"1,000,717","1,229",815
20,MP,Madhepura,Madhepura,"1,994,618","1,787","1,116"
21,MB,Madhubani,Madhubani,"4,476,044","3,501","1,279"
22,MG,Munger,Munger,"1,359,054","1,419",958
23,MZ,Muzaffarpur,Muzaffarpur,"4,778,610","3,173","1,506"
24,NL,Nalanda,Bihar Sharif,"2,872,523","2,354","1,220"
25,NW,Nawada,Nawada,"2,216,653","2,492",889
26,PA,Patna,Patna,"5,772,804","3,202","1,803"
27,PU,Purnia,Purnia,"3,273,127","3,228","1,014"
28,RO,Rohtas,Sasaram,"2,962,593","3,850",763
29,SH,Saharsa,Saharsa,"1,897,102","1,702","1,125"
30,SM,Samastipur,Samastipur,"4,254,782","2,905","1,465"
31,SR,Saran,Chhapra,"3,943,098","2,641","1,493"
32,SP,Sheikhpura,Sheikhpura,"634,927",689,922
33,SO,Sheohar,Sheohar,"656,916",443,"1,882"
34,ST,Sitamarhi,Sitamarhi,"3,419,622","2,199","1,491"
35,SW,Siwan,Siwan,"3,318,176","2,219","1,495"
36,SU,Supaul,Supaul,"2,228,397","2,410",919
37,VA,Vaishali,Hajipur,"3,495,021","2,036","1,717"
