state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Andaman and Nicobar Islands,0.31634611957443154,0.9189542483660129,0.28915662650602414,0.0011505984558745908,0.742128150028925,0.742128150028925,0.0004198316704983929,40968.304,0,0,0,0.0,Nicobar,0.2906976744186046
Andaman and Nicobar Islands,0.31634611957443154,0.9189542483660129,0.28915662650602414,0.0011505984558745908,0.742128150028925,0.742128150028925,0.0006008419275568325,117423.864,1,0,1,0.0,North and Middle Andaman,0.4757751937984496
Andaman and Nicobar Islands,0.31634611957443154,0.9189542483660129,0.28915662650602414,0.0011505984558745908,0.742128150028925,0.742128150028925,0.0019357067664840834,264813.904,51,19,32,0.0,South Andaman,0.6608527131782946
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.004662579315944224,4540646.28,67121,149,66377,0.05418943533697632,Anantapur,0.47480620155038755
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.00601786269802835,4637560.416,85381,452,84092,0.07622950819672131,Chittoor,0.5193798449612403
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.010436193214940189,5728522.488,123267,489,122142,0.05792349726775956,East Godavari,0.4941860465116279
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.009395072865388864,5436823.76,74228,621,72947,0.060109289617486336,Guntur,0.5852713178294575
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.004100120286388272,3207590.688,54774,122,54197,0.04143897996357013,Kadapa,0.5581395348837209
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.01136350661774582,5036258.008,47104,809,45638,0.05983606557377049,Krishna,0.4457364341085271
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.0050072484604335365,4499820.312,60483,149,59847,0.04435336976320583,Kurnool,0.501937984496124
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.004202758525515601,3772753.568,61888,207,61103,0.05264116575591985,Prakasam,0.4457364341085271
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.004956116299659076,3298283.184,61911,570,60837,0.04590163934426229,Sri Potti Sriramulu Nellore,0.6337209302325583
Andhra Pradesh,0.2667437073636873,0.6980392156862745,0.6626506024096387,0.0019168323895840805,0.24384125240335705,0.24384125240335705,0.010124509264505161,3001811.752,45819,178,45295,0.03151183970856102,Srikakulam,0.6957364341085271
