state,Cold Chain Points,cap_lit
Andaman and Nicobar Islands,40,21275
Andhra Pradesh,1650,597975
Arunachal Pradesh,193,81850
Assam,792,300000
Bihar,678,440925
Chandigarh,51,21875
Chhattisgarh,630,275550
Dadra and Nagar Haveli and Daman and Diu,21,11550
Delhi,629,140975
Goa,41,22925
Gujarat,2291,649175
Haryana,682,290925
Himachal Pradesh,416,175925
Jammu and Kashmir,681,250550
Jharkhand,275,215350
Karnataka,2870,909950
Kerala,1251,486850
Lakshadweep,5,4200
Madhya Pradesh,1214,618525
Maharashtra,3257,1142850
Manipur,123,43075
Meghalaya,189,76275
Mizoram,85,34625
Nagaland,120,38750
Odisha,1224,510175
Puducherry,56,17175
Punjab,750,308775
Rajasthan,2405,917950
Sikkim,34,22125
Tamil Nadu,2599,772725
Telangana,897,335225
Tripura,160,68975
Uttar Pradesh,1308,1180600
Uttarakhand,373,192200
West Bengal,942,649000
