state,state_pop
Andaman and Nicobar Islands,379944.0
Andhra Pradesh,42332781.5
Arunachal Pradesh,1382611.0
Assam,31169272.0
Bihar,103804637.0
Chandigarh,1054686.0
Chhattisgarh,25540196.0
Dadra and Nagar Haveli and Daman and Diu,585764.0
Delhi,16753235.0
Goa,1457723.0
Gujarat,60383628.0
Haryana,25353081.0
Himachal Pradesh,6856509.0
Jammu and Kashmir,12548926.0
Jharkhand,32966238.0
Karnataka,61130704.0
Kerala,33387677.0
Ladakh,-1.0
Lakshadweep,64429.0
Madhya Pradesh,72597565.0
Maharashtra,112372972.0
Manipur,2721756.0
Meghalaya,2964007.0
Mizoram,1091014.0
Nagaland,1980602.0
Odisha,41947358.0
Puducherry,1244464.0
Punjab,27704236.0
Rajasthan,68621012.0
Sikkim,607688.0
Tamil Nadu,72138958.0
Telangana,42332781.5
Tripura,3671032.0
Uttar Pradesh,199581477.0
Uttarakhand,10116752.0
West Bengal,91347736.0
