state,district,population,density,percent,num_senior_cit,pect_urban
Andhra Pradesh,AP_Anantapur,4540646.28,237.35735912179825,9.879999999999999,448615.852464,33.36346153452811
Andhra Pradesh,AP_Chittoor,4637560.416,306.06919324181627,9.879999999999999,458190.9691008,33.36346153452811
Andhra Pradesh,AP_East Godavari,5728522.488,530.0751816415286,9.879999999999999,565978.0218144,33.36346153452811
Andhra Pradesh,AP_Guntur,5436823.76,477.2911737336494,9.879999999999999,537158.1874879999,33.36346153452811
Andhra Pradesh,AP_Kadapa,3207590.688,208.8411151767693,9.879999999999999,316909.9599744,33.36346153452811
Andhra Pradesh,AP_Krishna,5036258.008,577.0892641228372,9.879999999999999,497582.29119039996,33.36346153452811
Andhra Pradesh,AP_Kurnool,4499820.312,254.83182195039075,9.879999999999999,444582.2468256,33.36346153452811
Andhra Pradesh,AP_Prakasam,3772753.568,214.0447956428004,9.879999999999999,372748.05251839996,33.36346153452811
Andhra Pradesh,AP_Sri Potti Sriramulu Nellore,3298283.184,252.23946038543895,9.879999999999999,325870.37857919995,33.36346153452811
Andhra Pradesh,AP_Srikakulam,3001811.752,514.2730430015419,9.879999999999999,296579.0010975999,33.36346153452811
Andhra Pradesh,AP_Visakhapatnam,4768381.656,427.23605913448614,9.879999999999999,471116.1076128,33.36346153452811
Andhra Pradesh,AP_Vizianagaram,2605269.216,398.4201278482949,9.879999999999999,257400.59854079998,33.36346153452811
Andhra Pradesh,AP_West Godavari,4375477.584,565.1611449237922,9.879999999999999,432297.1852992,33.36346153452811
Arunachal Pradesh,AR_Anjaw,23450.967999999997,3.7885247172859446,5.85,1371.8816279999996,22.935810315185005
Arunachal Pradesh,AR_Changlang,164521.512,35.28989961389961,5.85,9624.508451999998,22.935810315185005
Arunachal Pradesh,AR_East Kameng,87195.256,21.092224479922592,5.85,5100.922476,22.935810315185005
Arunachal Pradesh,AR_East Siang,110109.12800000001,30.560401887316125,5.85,6441.383988000001,22.935810315185005
Arunachal Pradesh,AR_Kamle,24748.672000000002,123.74336000000001,5.85,1447.7973120000001,22.935810315185005
Arunachal Pradesh,AR_Kurung Kumey,99765.304,16.517434437086095,5.85,5836.270283999999,22.935810315185005
Arunachal Pradesh,AR_Lohit,161838.256,67.37645961698584,5.85,9467.537976,22.935810315185005
Arunachal Pradesh,AR_Longding,66720.0,55.6,5.85,3903.12,22.935810315185005
Arunachal Pradesh,AR_Lower Dibang Valley,60032.432,15.392931282051284,5.85,3511.8972719999997,22.935810315185005
Arunachal Pradesh,AR_Lower Subansiri,92116.96800000001,26.25911288483466,5.85,5388.842628,22.935810315185005
Arunachal Pradesh,AR_Namsai,106696.4,67.23150598613736,5.85,6241.7393999999995,22.935810315185005
Arunachal Pradesh,AR_Papum Pare,196140.12,68.22265043478261,5.85,11474.197019999998,22.935810315185005
Arunachal Pradesh,AR_Shi Yomi,14800.72,5.14807652173913,5.85,865.8421199999999,22.935810315185005
Arunachal Pradesh,AR_Siang,35495.04,12.16,5.85,2076.45984,22.935810315185005
Arunachal Pradesh,AR_Tawang,55544.4,26.64,5.85,3249.3474,22.935810315185005
Arunachal Pradesh,AR_Tirap,124540.664,52.72678408128704,5.85,7285.628844,22.935810315185005
Arunachal Pradesh,AR_Upper Dibang Valley,8838.176,0.9681428414941396,5.85,517.033296,22.935810315185005
Arunachal Pradesh,AR_Upper Siang,39241.367999999995,6.341526826115063,5.85,2295.620028,22.935810315185005
Arunachal Pradesh,AR_Upper Subansiri,92523.96,13.157559726962461,5.85,5412.6516599999995,22.935810315185005
Arunachal Pradesh,AR_West Kameng,96758.45599999999,13.036709242791703,5.85,5660.369675999998,22.935810315185005
Arunachal Pradesh,AR_West Siang,124846.464,14.996572252252252,5.85,7303.518144000001,22.935810315185005
Assam,AS_Baksa,1060595.576,528.1850478087649,7.67,81347.6806792,14.095371929683337
Assam,AS_Barpeta,1882827.28,580.224123266564,7.67,144412.852376,14.095371929683337
Assam,AS_Bishwanath,681089.9920000001,619.17272,7.67,52239.60238640001,14.095371929683337
Assam,AS_Bongaigaon,814694.568,472.5606542923434,7.67,62487.0733656,14.095371929683337
Assam,AS_Cachar,1930786.728,509.98064659270995,7.67,148091.34203759997,14.095371929683337
Assam,AS_Charaideo,524216.816,490.3805575304023,7.67,40207.4297872,14.095371929683337
Assam,AS_Chirang,535781.616,271.281830886076,7.67,41094.4499472,14.095371929683337
Assam,AS_Darrang,1009796.08,546.1309248242293,7.67,77451.359336,14.095371929683337
Assam,AS_Dhemaji,765141.6240000001,236.37368674698794,7.67,58686.36256080001,14.095371929683337
Assam,AS_Dhubri,2166878.784,763.5231797040169,7.67,166199.6027328,14.095371929683337
Assam,AS_Dibrugarh,1476455.7759999998,436.6920366755398,7.67,113244.15801919998,14.095371929683337
Assam,AS_Dima Hasao,237444.24800000002,48.57697381342062,7.67,18211.9738216,14.095371929683337
Assam,AS_Goalpara,1121962.408,615.1109692982458,7.67,86054.5166936,14.095371929683337
Assam,AS_Golaghat,1177245.488,336.1637601370645,7.67,90294.7289296,14.095371929683337
Assam,AS_Hailakandi,733097.12,552.4469630746044,7.67,56228.549104,14.095371929683337
Assam,AS_Jorhat,1213520.04,425.6471553840758,7.67,93076.987068,14.095371929683337
Assam,AS_Kamrup,1687128.624,484.80707586206904,7.67,129402.76546080002,14.095371929683337
