state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP
Andhra Pradesh,Anantapur,4540646.28,19130.0,237.35735912179825,67121,149,66377,595,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Chittoor,4637560.416,15152.0,306.06919324181627,85381,452,84092,837,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,East Godavari,5728522.488,10807.0,530.0751816415286,123267,489,122142,636,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Guntur,5436823.76,11391.0,477.2911737336494,74228,621,72947,660,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Kadapa,3207590.688,15359.0,208.8411151767693,54774,122,54197,455,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Krishna,5036258.008,8727.0,577.0892641228372,47104,809,45638,657,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Kurnool,4499820.312,17658.0,254.83182195039075,60483,149,59847,487,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Prakasam,3772753.568,17626.0,214.0447956428004,61888,207,61103,578,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Sri Potti Sriramulu Nellore,3298283.184,13076.0,252.23946038543895,61911,570,60837,504,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Srikakulam,3001811.752,5837.0,514.2730430015419,45819,178,45295,346,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Visakhapatnam,4768381.656,11161.0,427.23605913448614,58825,243,58033,549,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,Vizianagaram,2605269.216,6539.0,398.4201278482949,40958,79,40641,238,0,42332781.5,1599.5,1117.0,2.0,0.5
Andhra Pradesh,West Godavari,4375477.584,7742.0,565.1611449237922,93631,287,92812,532,0,42332781.5,1599.5,1117.0,2.0,0.5
Arunachal Pradesh,Anjaw,23450.967999999997,6190.0,3.7885247172859446,204,10,194,0,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,Changlang,164521.512,4662.0,35.28989961389961,1271,14,1253,4,0,1382611.0,393.0,164.0,28.0,2.0
Arunachal Pradesh,East Kameng,87195.256,4134.0,21.092224479922592,304,1,303,0,0,1382611.0,393.0,164.0,28.0,2.0
