state,District_Key,population_x,area,density,Confirmed,Active,Recovered,Deceased,Migrated_Other,population_y,No.CCE,No.CCP,CCE per lakh population,CCE per CCP,state_population,ccp_district,cce_district,cluster
Andhra Pradesh,AP_Anantapur,4540646.28,19130.0,237.35735912179825,67121,149,66377,595,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,92.36889255821167,132.26861561939083,1
Andhra Pradesh,AP_Chittoor,4637560.416,15152.0,306.06919324181627,85381,452,84092,837,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,94.34038535098563,135.091715639124,1
Andhra Pradesh,AP_East Godavari,5728522.488,10807.0,530.0751816415286,123267,489,122142,636,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,116.53347245788353,166.87134216328084,1
Andhra Pradesh,AP_Guntur,5436823.76,11391.0,477.2911737336494,74228,621,72947,660,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,110.59953997239626,158.37418458894163,1
Andhra Pradesh,AP_Y.S.R. Kadapa,3207590.688,15359.0,208.8411151767693,54774,122,54197,455,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,65.25097560133933,93.4368267451587,3
Andhra Pradesh,AP_Krishna,5036258.008,8727.0,577.0892641228372,47104,809,45638,657,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,102.45096097562242,146.70574044808242,1
Andhra Pradesh,AP_Kurnool,4499820.312,17658.0,254.83182195039075,60483,149,59847,487,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,91.53838315068806,131.07935886260123,1
Andhra Pradesh,AP_Prakasam,3772753.568,17626.0,214.0447956428004,61888,207,61103,578,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,76.7479005149905,109.89997034353385,3
Andhra Pradesh,AP_S.P.S. Nellore,3298283.184,13076.0,252.23946038543895,61911,570,60837,504,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,67.09590359226402,96.07869095418647,3
Andhra Pradesh,AP_Srikakulam,3001811.752,5837.0,514.2730430015419,45819,178,45295,346,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,61.06488153938851,87.44250494382446,3
Andhra Pradesh,AP_Visakhapatnam,4768381.656,11161.0,427.23605913448614,58825,243,58033,549,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,97.00163934804705,138.902526532857,1
Andhra Pradesh,AP_Vizianagaram,2605269.216,6539.0,398.4201278482949,40958,79,40641,238,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,52.998145519038395,75.89125672130878,3
Andhra Pradesh,AP_West Godavari,4375477.584,7742.0,565.1611449237922,93631,287,92812,532,0,42332781.5,1599.5,1117.0,2.0,0.5,54909198.91199999,89.00891941914479,127.45726643771002,1
Arunachal Pradesh,AR_Anjaw,23450.967999999997,6190.0,3.7885247172859446,204,10,194,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,2.1534836776258723,5.160482227481512,2
Arunachal Pradesh,AR_Changlang,164521.512,4662.0,35.28989961389961,1271,14,1253,4,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,15.107879159202689,36.20363725345522,2
Arunachal Pradesh,AR_East Kameng,87195.256,4134.0,21.092224479922592,304,1,303,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,8.00707077688262,19.187675703139444,2
Arunachal Pradesh,AR_East Siang,110109.12800000001,3603.0,30.560401887316125,1115,25,1086,4,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,10.111233357429764,24.229967740670105,2
Arunachal Pradesh,AR_Kamle,24748.672000000002,200.0,123.74336000000001,29,0,29,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,2.272650800381309,5.4460473448161855,2
Arunachal Pradesh,AR_Kurung Kumey,99765.304,6040.0,16.517434437086095,117,0,117,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,9.161368253855585,21.953766608324663,2
Arunachal Pradesh,AR_Lohit,161838.256,2402.0,67.37645961698584,567,5,562,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,14.8614779019543,35.61317570407341,2
Arunachal Pradesh,AR_Longding,66720.0,1200.0,55.6,248,2,246,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,6.1268443576059735,14.682011174019193,2
Arunachal Pradesh,AR_Lower Dibang Valley,60032.432,3900.0,15.392931282051284,471,9,462,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,5.512730324828601,13.21038425401,2
Arunachal Pradesh,AR_Lower Subansiri,92116.96800000001,3508.0,26.25911288483466,381,0,380,1,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,8.459027662328687,20.270718727409598,2
Arunachal Pradesh,AR_Namsai,106696.4,1587.0,67.23150598613736,426,3,419,4,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,9.797845268538218,23.478982869119022,2
Arunachal Pradesh,AR_Papum Pare,196140.12,2875.0,68.22265043478261,6740,94,6617,29,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,18.01139070027216,43.161442348822916,2
Arunachal Pradesh,AR_Shi Yomi,14800.72,2875.0,5.14807652173913,104,4,100,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,1.3591383066622582,3.256959478769924,2
Arunachal Pradesh,AR_Siang,35495.04,2919.0,12.16,132,5,126,1,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,3.2594811982463776,7.81082994457821,2
Arunachal Pradesh,AR_Tawang,55544.4,2085.0,26.64,447,29,417,1,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,5.100597927706972,12.222774302370977,2
Arunachal Pradesh,AR_Tirap,124540.664,2362.0,52.72678408128704,584,5,577,2,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,11.436469791979937,27.405686757610457,2
Arunachal Pradesh,AR_Upper Dibang Valley,8838.176,9129.0,0.9681428414941396,23,0,23,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,0.8116026492375378,1.9448770801850752,2
Arunachal Pradesh,AR_Upper Siang,39241.367999999995,6188.0,6.341526826115063,359,1,358,0,0,1382611.0,393.0,164.0,28.0,2.0,1785924.264,3.6035035089259524,8.635224871999386,2
