First principal component,Second principal component,Category,district
0.1800226226659512,0.8415714719811287,low,Nicobar
0.19997296008206433,0.7997514193549098,low,North and Middle Andaman
0.21988878297633982,0.7579553436262427,low,South Andaman
-0.17018826055565522,0.1252767986019183,high,Anantapur
-0.16542270298278305,0.1152322101421211,high,Chittoor
-0.16827135548936883,0.12101731633260601,high,East Godavari
-0.15841905774894377,0.1004122343110117,high,Guntur
-0.16118612371825283,0.10643344586414544,high,Kadapa
-0.17352311244017166,0.1319852281490581,high,Krishna
-0.16727311989098329,0.11915272101988696,high,Kurnool
-0.17330891751449623,0.13183642904898052,high,Prakasam
-0.15306225923871267,0.08937135116032101,high,Sri Potti Sriramulu Nellore
-0.14653011402721272,0.07546448718866691,high,Srikakulam
-0.15212070283779522,0.08725334760190323,high,Visakhapatnam
-0.15941732787900123,0.10256963633711713,high,Vizianagaram
-0.16411284103152982,0.11227278290508935,high,West Godavari
1.143488576360638,0.6750594293393894,high,Anjaw
1.1468133627027823,0.6680652095005816,high,Changlang
1.1461948570224272,0.6693732274638192,medium,East Kameng
1.1507864073863925,0.6597423028186165,high,East Siang
1.1517314562358054,0.6576846122459765,low,Kamle
1.1441079486072847,0.6737508093811049,low,Kurung Kumey
1.17897438762939,0.6006347234317418,medium,Lohit
1.1517716605721822,0.6576566826904411,medium,Longding
1.1292723986343542,0.7048444929177757,high,Lower Dibang Valley
1.161863865012555,0.6365294179731988,medium,Lower Subansiri
1.1517647980256445,0.6576614500337655,medium,Namsai
1.151764213253998,0.6576618562688545,high,Papum Pare
1.1518014270248838,0.6576360042296394,medium,Shi Yomi
1.1517972900153475,0.6576388781693188,medium,Siang
1.1482811913796507,0.6649960443389018,high,Tawang
1.186296657221694,0.5853006196800741,medium,Tirap
1.151803893170664,0.6576342910225146,medium,Upper Dibang Valley
1.1200834658213998,0.7241103937000655,high,Upper Siang
1.152259400267762,0.6566695501350571,medium,Upper Subansiri
1.160199980163165,0.6400275641468024,high,West Kameng
1.1564375303065135,0.647911389957149,high,West Siang
0.1576145406025951,-0.16265338408059557,low,Baksa
0.15758383773595575,-0.1626320551022767,low,Barpeta
0.15756085820450216,-0.1626160914486574,low,Bishwanath
0.1576473587939447,-0.1626761825541056,low,Bongaigaon
0.1576252811335878,-0.1626608454214328,medium,Cachar
0.15763684511537085,-0.16266887880540398,low,Charaideo
0.15776611257306172,-0.16275867963197851,low,Chirang
0.15760395259994736,-0.16264602869969363,medium,Darrang
0.1577867082520722,-0.16277298724684186,low,Dhemaji
0.15747569195443656,-0.16255692729560015,low,Dhubri
0.15766852114883934,-0.16269088383311076,medium,Dibrugarh
0.15789750763468585,-0.1628499584839992,low,Dima Hasao
0.15756325462275172,-0.16261775621675506,low,Goalpara
0.15772783246905198,-0.16273208682167,medium,Golaghat
0.15760022616018293,-0.16264343997878117,medium,Hailakandi
0.1576750375889251,-0.16269541073970023,medium,Jorhat
