First principal component,Second principal component,Category,district
-0.28791881169785544,0.026704904164932996,low,Nicobar
-0.26788180523600236,0.04028994583485848,low,North and Middle Andaman
-0.22925472325670893,0.06647901351197685,low,South Andaman
0.5046768912622194,0.15894195603442093,high,Anantapur
0.5218229676541927,0.16191975314650744,high,Chittoor
0.7148362864465869,0.19544080426950927,high,East Godavari
0.6632288648653901,0.18647802891300483,high,Guntur
0.26883231833862475,0.11798230601898438,high,Kadapa
0.592360658561614,0.17417019035881934,high,Krishna
0.49745394943973575,0.15768753170969146,high,Kurnool
0.3688210951501688,0.13534757863434896,high,Prakasam
0.28487766041952334,0.12076893616215276,high,Sri Potti Sriramulu Nellore
0.23242585069478192,0.11165951404414753,high,Srikakulam
0.5449678984900068,0.16593938461359892,high,Visakhapatnam
0.16226943290529855,0.09947529337978256,high,Vizianagaram
0.47545519878199527,0.15386695989602575,high,West Godavari
-0.29257164029806804,0.02492918093017326,high,Anjaw
-0.25597365009417483,0.0580372747386991,high,Changlang
-0.27603443301418495,0.03988943986886202,medium,East Kameng
-0.27008987762217296,0.045267136744352586,high,East Siang
-0.29223497640684815,0.025233741361780446,low,Kamle
-0.27277338020668696,0.04283952651743746,low,Kurung Kumey
-0.25666976831997923,0.05740753667403061,medium,Lohit
-0.2813463372378633,0.03508406606664871,medium,Longding
-0.2830812957998142,0.033514548983799027,high,Lower Dibang Valley
-0.2747575912125231,0.04104452510476037,medium,Lower Subansiri
-0.27097524307389015,0.04446619761444478,medium,Namsai
-0.24777082140270296,0.06545790139878346,high,Papum Pare
-0.29481577775290935,0.022899039030025676,medium,Shi Yomi
-0.28944704166413215,0.02775582534725751,medium,Siang
-0.28424562781777796,0.032461244869003356,high,Tawang
-0.2663458982046474,0.04865409928196865,medium,Tirap
-0.2963626430354469,0.02149967910348096,medium,Upper Dibang Valley
-0.28847513022495486,0.028635057647244305,high,Upper Siang
-0.2746520051078217,0.04114004277225672,medium,Upper Subansiri
-0.27355344804032766,0.04213384407779239,high,West Kameng
-0.26626656438280893,0.048725868021207694,high,West Siang
-0.1551639261450437,0.009442222106096708,low,Baksa
-0.04392138232698442,0.00170269168562583,low,Barpeta
-0.2065085366142579,0.013014445115520527,low,Bishwanath
-0.18843271585999855,0.011756847439298945,low,Bongaigaon
-0.03743278432027225,0.0012512573698007044,medium,Cachar
-0.2277324459699328,0.014491066257592045,low,Charaideo
-0.22616780456229973,0.014382208716620035,low,Chirang
-0.16203676397436118,0.009920389321887485,medium,Darrang
-0.1951369033991278,0.012223281068221497,low,Dhemaji
-0.005491081322310874,-0.0009710379279290592,low,Dhubri
-0.09890077514316156,0.0055277991363846335,medium,Dibrugarh
-0.2665308890442677,0.01719040879448911,low,Dima Hasao
-0.1468613972295016,0.008864586312242755,low,Goalpara
-0.13938195996214797,0.008344215865182844,medium,Golaghat
-0.19947231411487415,0.012524910660355187,medium,Hailakandi
-0.13447425156230197,0.008002769534024394,medium,Jorhat
-0.07039812386991971,0.003544770620297095,medium,Kamrup
-0.10903017334840444,0.006232536576394625,high,Kamrup Metropolitan
-0.15343274069527124,0.009321777517253917,low,Karbi Anglong
-0.1155620998864049,0.006686985408739015,low,Karimganj
-0.16520982665978315,0.01014115032156446,low,Kokrajhar
-0.14209450655634256,0.008532937159771813,medium,Lakhimpur
-0.2734852687623291,0.017674249162895908,low,Majuli
-0.15455010528512614,0.009399516455407684,low,Morigaon
0.12650658121429037,-0.010154574096464815,low,Nagaon
-0.18282407819879076,0.01136663502319931,low,Nalbari
-0.1256042392439145,0.007385651947425584,low,Sivasagar
-0.21514069334942734,0.01361501426247734,low,South Salmara
-0.008899742896612963,-0.0007338854946787902,low,Sonitpur
-0.10052559506647278,0.005640843505855549,medium,Tinsukia
-0.1733685289228544,0.010708779595305983,low,Udalguri
-0.2534735051587022,0.016281961213863955,low,West Karbi Anglong
0.04299181862674154,-0.15199254213505298,medium,Araria
