District,Active,Cluster,Cold Chain Points,Density,Elderlies,Full Immunes,Hh More Than 4,Index,Storage Cap Lits,Urbans
Nicobar,0.000704106,6,0.993833547,0.000503798,0.001921092,0.996102706,0.001864790,0.015309381,0.993833547,0.002413555
North and Middle Andaman,0.000704106,6,0.977715049,0.000721010,0.006129598,0.988571033,0.006770085,0.024972871,0.977715049,0.007598181
South Andaman,0.001075717,6,0.946642016,0.002322848,0.014242702,0.974051572,0.016226451,0.041541164,0.946642016,0.017593037
Anantapur,0.003618322,2,0.648065503,0.005595095,0.365250561,0.643260660,0.294924209,0.141456695,0.648065503,0.272111684
Chittoor,0.009544548,2,0.640501192,0.007221435,0.373053484,0.635643571,0.301235279,0.165445545,0.640501192,0.277927333
East Godavari,0.010268212,2,0.555349773,0.012523432,0.460890959,0.549898023,0.372278972,0.183489674,0.555349773,0.343394069
Guntur,0.012849934,2,0.578117348,0.011274087,0.437405193,0.572824455,0.353283486,0.185412592,0.578117348,0.325889736
Kadapa,0.003090243,9,0.752112727,0.004920144,0.257921222,0.748033855,0.208115333,0.126685501,0.752112727,0.192117337
Krishna,0.016526932,2,0.609382176,0.013636208,0.405154132,0.604307428,0.327198555,0.194208713,0.609382176,0.301852482
Kurnool,0.003618322,2,0.651252038,0.006008698,0.361963508,0.646469429,0.292265613,0.142503152,0.651252038,0.269661789
Prakasam,0.004752715,2,0.708000816,0.005043310,0.303424619,0.703614162,0.244918865,0.139327796,0.708000816,0.226031779
Sri Potti Sriramulu Nellore,0.011852451,9,0.745034025,0.005947340,0.265223217,0.740905763,0.214021248,0.154526010,0.745034025,0.197559636
Srikakulam,0.004185519,9,0.768174118,0.012149411,0.241353183,0.764207311,0.194714962,0.144843913,0.768174118,0.179768901
Visakhapatnam,0.005456821,2,0.630290375,0.010089333,0.383586396,0.625361509,0.309754388,0.161571762,0.630290375,0.285777688
Vizianagaram,0.002249227,9,0.799124928,0.009407289,0.209426046,0.795374075,0.168892024,0.124917566,0.799124928,0.155973074
West Godavari,0.006317395,2,0.660957196,0.013353881,0.351952205,0.656242303,0.284168387,0.167989105,0.660957196,0.262200198
Anjaw,0.000899691,6,0.995915249,6.675560453e-05,0.000552249,0.999770987,0.001262659,0.008410404,0.995915249,0.000602819
Changlang,0.000977925,6,0.956481439,0.000812361,0.005883613,0.997560112,0.013452247,0.027913241,0.956481439,0.006422382
East Kameng,0.000723664,6,0.978096645,0.000476317,0.002961285,0.998771978,0.006770659,0.019550745,0.978096645,0.003232453
East Siang,0.001193068,6,0.971691472,0.000700419,0.003827250,0.998412870,0.008750596,0.024003894,0.971691472,0.004177716
Kamle,0.000704106,6,0.995552498,0.002905966,0.000601292,0.999750649,0.001374790,0.013495098,0.995552498,0.000656353
Kurung Kumey,0.000704106,6,0.974582907,0.000368036,0.003436334,0.998574979,0.007856809,0.019929871,0.974582907,0.003751004
Lohit,0.000801898,6,0.957231496,0.001571818,0.005782207,0.997602164,0.013220393,0.029384925,0.957231496,0.006311690
Longding,0.000743223,6,0.983820146,0.001293081,0.002187480,0.999092869,0.005001438,0.019867910,0.983820146,0.002387791
Lower Dibang Valley,0.000880132,6,0.985689539,0.000341420,0.001934743,0.999197678,0.004423581,0.016415540,0.985689539,0.002111909
Lower Subansiri,0.000704106,6,0.976720866,0.000598612,0.003147287,0.998694845,0.007195933,0.020504356,0.976720866,0.003435488
Namsai,0.000762781,6,0.972645440,0.001568387,0.003698276,0.998466354,0.008455709,0.024790602,0.972645440,0.004036931
Papum Pare,0.002542605,6,0.947643008,0.001591847,0.007078549,0.997064582,0.016184340,0.036582936,0.947643008,0.007726740
Shi Yomi,0.000782340,6,0.998333275,9.893482939e-05,0.000225338,0.999906554,0.000515210,0.006206830,0.998333275,0.000245972
Siang,0.000801898,6,0.992548539,0.000264900,0.001007421,0.999582230,0.002303360,0.012328774,0.992548539,0.001099672
Tawang,0.001271302,6,0.986944090,0.000607627,0.001765130,0.999268014,0.004035780,0.017852982,0.986944090,0.001926765
Tirap,0.000801898,6,0.967657388,0.001225075,0.004372649,0.998186697,0.009997592,0.025721526,0.967657388,0.004773058
Upper Dibang Valley,0.000704106,6,1,0,0,1,0,0,1,0
Upper Siang,0.000723664,6,0.991501318,0.000127183,0.001149003,0.999523518,0.002627072,0.011663096,0.991501318,0.001254219
Upper Subansiri,0.000704106,6,0.976607099,0.000288511,0.003162668,0.998688466,0.007231101,0.018750130,0.976607099,0.003452278
West Kameng,0.001134393,6,0.975423419,0.000285651,0.003322699,0.998622103,0.007596994,0.020242204,0.975423419,0.003626963
West Siang,0.000782340,6,0.967571907,0.000332039,0.004384206,0.998181904,0.010024016,0.021802412,0.967571907,0.004785673
Baksa,0.005261236,0,0.948504160,0.012478694,0.058046610,0.936775786,0.092183793,0.097024173,0.948504160,0.026523882
Barpeta,0.002366578,3,0.906666456,0.013710407,0.103306462,0.887653533,0.164241763,0.108374533,0.906666456,0.047369304
Bishwanath,0.002307903,6,0.967814583,0.014632281,0.037156675,0.959448432,0.058925038,0.076085710,0.967814583,0.016902562
Bongaigaon,0.009759691,6,0.961016367,0.011162121,0.044510956,0.951466549,0.070633751,0.094020854,0.961016367,0.020289739
Cachar,0.092257442,3,0.904226131,0.012047814,0.105946397,0.884788312,0.168444788,0.169988228,0.904226131,0.048585184
Charaideo,0.000645430,6,0.975796778,0.011583900,0.028521570,0.968820442,0.045177134,0.057217070,0.975796778,0.012925475
